"layer","y","x","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
2,317650.337404554,1913.27848101266,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,330255.238246677,1916.92405063291,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,342860.139088799,1920.56962025316,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,355465.039930922,1924.21518987342,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,368069.940773045,1927.86075949367,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,380674.841615167,1931.50632911392,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,393279.74245729,1935.15189873418,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,405884.643299413,1938.79746835443,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,418489.544141536,1942.44303797468,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,431094.444983658,1946.08860759494,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,443699.345825781,1949.73417721519,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,456304.246667904,1953.37974683544,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,468909.147510026,1957.0253164557,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,481514.048352148,1960.67088607595,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,494118.949194271,1964.3164556962,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,506723.850036395,1967.96202531646,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,519328.750878517,1971.60759493671,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,531933.651720639,1975.25316455696,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,544538.552562762,1978.89873417722,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,557143.453404885,1982.54430379747,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,569748.354247008,1986.18987341772,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,582353.25508913,1989.83544303797,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,594958.155931253,1993.48101265823,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,607563.056773376,1997.12658227848,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,620167.957615498,2000.77215189873,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,632772.85845762,2004.41772151899,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,645377.759299743,2008.06329113924,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,657982.660141867,2011.70886075949,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,670587.560983989,2015.35443037975,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,683192.461826111,2019,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3,33000,1731,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Copley Medal",1,,1731.5,33000,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.8
3,1e+06,1901,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Nobel Prize in Physics",1,1900.5,1901.5,1e+06,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.8
3,1e+06,1901,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Nobel Prize in Chemistry",1,1900.5,1901.5,1e+06,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.8
