field,country,year,n_authors
"Chemical Engineering",SD,2018,15
"Chemical Engineering",SD,2019,17
"Chemical Engineering",SD,2020,17
"Chemical Engineering",SD,2021,21
"Chemical Engineering",SD,2022,24
"Chemical Engineering",SD,2023,26
"Chemical Engineering",SD,2024,28
"Chemical Engineering",SE,2015,589
"Chemical Engineering",SE,2016,616
"Chemical Engineering",SE,2017,635
"Chemical Engineering",SE,2018,663
"Chemical Engineering",SE,2019,691
"Chemical Engineering",SE,2020,720
"Chemical Engineering",SE,2021,740
"Chemical Engineering",SE,2022,764
"Chemical Engineering",SE,2023,781
"Chemical Engineering",SE,2024,799
"Chemical Engineering",SG,2015,296
"Chemical Engineering",SG,2016,314
"Chemical Engineering",SG,2017,338
"Chemical Engineering",SG,2018,357
"Chemical Engineering",SG,2019,379
"Chemical Engineering",SG,2020,410
"Chemical Engineering",SG,2021,426
"Chemical Engineering",SG,2022,451
"Chemical Engineering",SG,2023,479
"Chemical Engineering",SG,2024,522
"Chemical Engineering",SI,2015,110
"Chemical Engineering",SI,2016,114
"Chemical Engineering",SI,2017,119
"Chemical Engineering",SI,2018,126
"Chemical Engineering",SI,2019,131
"Chemical Engineering",SI,2020,141
"Chemical Engineering",SI,2021,145
"Chemical Engineering",SI,2022,147
"Chemical Engineering",SI,2023,153
"Chemical Engineering",SI,2024,158
"Chemical Engineering",SK,2015,203
"Chemical Engineering",SK,2016,213
"Chemical Engineering",SK,2017,220
"Chemical Engineering",SK,2018,229
"Chemical Engineering",SK,2019,235
"Chemical Engineering",SK,2020,242
"Chemical Engineering",SK,2021,246
"Chemical Engineering",SK,2022,257
"Chemical Engineering",SK,2023,260
"Chemical Engineering",SK,2024,267
"Chemical Engineering",SL,2020,1
"Chemical Engineering",SL,2021,1
"Chemical Engineering",SL,2022,1
"Chemical Engineering",SL,2023,1
"Chemical Engineering",SL,2024,1
"Chemical Engineering",SN,2015,5
"Chemical Engineering",SN,2016,7
"Chemical Engineering",SN,2017,8
"Chemical Engineering",SN,2018,13
"Chemical Engineering",SN,2019,13
"Chemical Engineering",SN,2020,13
"Chemical Engineering",SN,2021,15
"Chemical Engineering",SN,2022,15
"Chemical Engineering",SN,2023,15
"Chemical Engineering",SN,2024,15
"Chemical Engineering",SS,2015,38
"Chemical Engineering",SS,2016,39
"Chemical Engineering",SS,2017,39
"Chemical Engineering",SS,2018,40
"Chemical Engineering",SS,2019,42
"Chemical Engineering",SS,2020,45
"Chemical Engineering",SS,2021,51
"Chemical Engineering",SS,2022,59
"Chemical Engineering",SS,2023,73
"Chemical Engineering",SS,2024,77
"Chemical Engineering",ST,2016,1
"Chemical Engineering",ST,2017,1
"Chemical Engineering",ST,2018,1
"Chemical Engineering",ST,2019,1
"Chemical Engineering",ST,2020,1
"Chemical Engineering",ST,2021,1
"Chemical Engineering",ST,2022,1
"Chemical Engineering",ST,2023,1
"Chemical Engineering",ST,2024,1
"Chemical Engineering",SV,2015,2
"Chemical Engineering",SV,2016,2
"Chemical Engineering",SV,2017,4
"Chemical Engineering",SV,2018,6
"Chemical Engineering",SV,2019,7
"Chemical Engineering",SV,2020,9
"Chemical Engineering",SV,2021,9
"Chemical Engineering",SV,2022,9
"Chemical Engineering",SV,2023,9
"Chemical Engineering",SV,2024,10
"Chemical Engineering",SY,2015,15
"Chemical Engineering",SY,2016,15
"Chemical Engineering",SY,2017,16
"Chemical Engineering",SY,2018,16
"Chemical Engineering",SY,2019,17
"Chemical Engineering",SY,2020,18
"Chemical Engineering",SY,2021,18
"Chemical Engineering",SY,2022,19
"Chemical Engineering",SY,2023,19
"Chemical Engineering",SY,2024,20
"Chemical Engineering",SZ,2015,1
"Chemical Engineering",SZ,2016,1
"Chemical Engineering",SZ,2017,1
"Chemical Engineering",SZ,2018,2
"Chemical Engineering",SZ,2019,2
"Chemical Engineering",SZ,2020,2
"Chemical Engineering",SZ,2021,2
"Chemical Engineering",SZ,2022,2
"Chemical Engineering",SZ,2023,2
"Chemical Engineering",SZ,2024,2
"Chemical Engineering",TH,2015,331
"Chemical Engineering",TH,2016,360
"Chemical Engineering",TH,2017,398
"Chemical Engineering",TH,2018,429
"Chemical Engineering",TH,2019,476
"Chemical Engineering",TH,2020,518
"Chemical Engineering",TH,2021,566
"Chemical Engineering",TH,2022,590
"Chemical Engineering",TH,2023,616
"Chemical Engineering",TH,2024,628
"Chemical Engineering",TJ,2015,98
"Chemical Engineering",TJ,2016,100
"Chemical Engineering",TJ,2017,102
"Chemical Engineering",TJ,2018,106
"Chemical Engineering",TJ,2019,108
"Chemical Engineering",TJ,2020,111
"Chemical Engineering",TJ,2021,113
"Chemical Engineering",TJ,2022,114
"Chemical Engineering",TJ,2023,125
"Chemical Engineering",TJ,2024,132
"Chemical Engineering",TM,2015,2
"Chemical Engineering",TM,2016,2
"Chemical Engineering",TM,2017,2
"Chemical Engineering",TM,2018,2
"Chemical Engineering",TM,2019,2
"Chemical Engineering",TM,2020,2
"Chemical Engineering",TM,2021,2
"Chemical Engineering",TM,2022,2
"Chemical Engineering",TM,2023,2
"Chemical Engineering",TM,2024,2
"Chemical Engineering",TN,2015,122
"Chemical Engineering",TN,2016,134
"Chemical Engineering",TN,2017,145
"Chemical Engineering",TN,2018,153
"Chemical Engineering",TN,2019,155
"Chemical Engineering",TN,2020,158
"Chemical Engineering",TN,2021,160
"Chemical Engineering",TN,2022,164
"Chemical Engineering",TN,2023,170
"Chemical Engineering",TN,2024,172
"Chemical Engineering",TR,2015,441
"Chemical Engineering",TR,2016,470
"Chemical Engineering",TR,2017,496
"Chemical Engineering",TR,2018,518
"Chemical Engineering",TR,2019,550
"Chemical Engineering",TR,2020,588
"Chemical Engineering",TR,2021,610
"Chemical Engineering",TR,2022,633
"Chemical Engineering",TR,2023,659
"Chemical Engineering",TR,2024,690
"Chemical Engineering",TT,2015,7
"Chemical Engineering",TT,2016,7
"Chemical Engineering",TT,2017,7
"Chemical Engineering",TT,2018,7
"Chemical Engineering",TT,2019,7
"Chemical Engineering",TT,2020,10
"Chemical Engineering",TT,2021,12
"Chemical Engineering",TT,2022,13
"Chemical Engineering",TT,2023,13
"Chemical Engineering",TT,2024,13
"Chemical Engineering",TW,2015,1590
"Chemical Engineering",TW,2016,1653
"Chemical Engineering",TW,2017,1708
"Chemical Engineering",TW,2018,1768
"Chemical Engineering",TW,2019,1828
"Chemical Engineering",TW,2020,1910
"Chemical Engineering",TW,2021,1962
"Chemical Engineering",TW,2022,2026
"Chemical Engineering",TW,2023,2075
"Chemical Engineering",TW,2024,2103
"Chemical Engineering",TZ,2015,6
"Chemical Engineering",TZ,2016,6
"Chemical Engineering",TZ,2017,6
"Chemical Engineering",TZ,2018,6
"Chemical Engineering",TZ,2019,6
"Chemical Engineering",TZ,2020,7
"Chemical Engineering",TZ,2021,8
"Chemical Engineering",TZ,2022,8
"Chemical Engineering",TZ,2023,9
"Chemical Engineering",TZ,2024,10
"Chemical Engineering",UA,2015,365
"Chemical Engineering",UA,2016,396
"Chemical Engineering",UA,2017,415
"Chemical Engineering",UA,2018,433
"Chemical Engineering",UA,2019,454
"Chemical Engineering",UA,2020,476
"Chemical Engineering",UA,2021,496
"Chemical Engineering",UA,2022,501
"Chemical Engineering",UA,2023,505
"Chemical Engineering",UA,2024,513
"Chemical Engineering",UG,2015,6
"Chemical Engineering",UG,2016,7
"Chemical Engineering",UG,2017,7
"Chemical Engineering",UG,2018,7
"Chemical Engineering",UG,2019,8
"Chemical Engineering",UG,2020,10
"Chemical Engineering",UG,2021,14
"Chemical Engineering",UG,2022,14
"Chemical Engineering",UG,2023,15
